date,new_deaths
17.05.20,31
18.05.20,37
19.05.20,33
20.05.20,30
21.05.20,34
22.05.20,41
23.05.20,25
24.05.20,33
25.05.20,26
26.05.20,24
27.05.20,24
28.05.20,26
29.05.20,16
30.05.20,23
31.05.20,22
01.06.20,21
02.06.20,23
03.06.20,20
04.06.20,14
05.06.20,12
06.06.20,11
07.06.20,12
08.06.20,9
09.06.20,12
10.06.20,12
11.06.20,7
12.06.20,10
13.06.20,5
14.06.20,3
15.06.20,8
16.06.20,7
17.06.20,7
18.06.20,5
19.06.20,4
20.06.20,3
21.06.20,9
22.06.20,12
23.06.20,4
24.06.20,3
25.06.20,5
26.06.20,2
27.06.20,8
28.06.20,5
29.06.20,3
30.06.20,8
01.07.20,2
02.07.20,5
03.07.20,2
04.07.20,3
05.07.20,2
06.07.20,1
07.07.20,3
08.07.20,1
09.07.20,2
10.07.20,0
11.07.20,2
12.07.20,4
13.07.20,0
14.07.20,3
15.07.20,5
16.07.20,5
17.07.20,2
18.07.20,3
19.07.20,1
20.07.20,2
21.07.20,1
22.07.20,2
23.07.20,2
24.07.20,5
25.07.20,1
26.07.20,2
27.07.20,4
28.07.20,1
29.07.20,3
30.07.20,2
31.07.20,3
01.08.20,2
02.08.20,5
03.08.20,3
04.08.20,5
05.08.20,5
06.08.20,4
07.08.20,6
08.08.20,2
09.08.20,5
10.08.20,11
11.08.20,13
12.08.20,11
13.08.20,12
14.08.20,12
15.08.20,9
16.08.20,7
17.08.20,7
18.08.20,11
19.08.20,9
20.08.20,4
21.08.20,3
22.08.20,5
23.08.20,3
24.08.20,5
25.08.20,5
26.08.20,4
27.08.20,3
28.08.20,4
29.08.20,6
30.08.20,1
31.08.20,3
01.09.20,3
02.09.20,2
03.09.20,4
04.09.20,2
05.09.20,1
06.09.20,2
07.09.20,4
08.09.20,3
09.09.20,2
10.09.20,3
11.09.20,5
12.09.20,1
13.09.20,1
14.09.20,4
15.09.20,3
16.09.20,2
17.09.20,1
18.09.20,6
19.09.20,8
20.09.20,3
21.09.20,3
22.09.20,1
23.09.20,8
24.09.20,4
25.09.20,5
26.09.20,6
27.09.20,12
28.09.20,13
29.09.20,9
30.09.20,6
01.10.20,15
02.10.20,11
03.10.20,15
04.10.20,14
05.10.20,14
06.10.20,18
07.10.20,20
08.10.20,20
09.10.20,19
10.10.20,22
11.10.20,25
12.10.20,36
13.10.20,34
14.10.20,41
15.10.20,35
16.10.20,35
17.10.20,23
18.10.20,31
19.10.20,49
20.10.20,49
21.10.20,56
22.10.20,54
23.10.20,90
24.10.20,85
25.10.20,89
