date,new_deaths
17.05.20,88.0
18.05.20,68.0
19.05.20,186.0
20.05.20,125.0
21.05.20,110.0
22.05.20,83.0
23.05.20,74.0
24.05.20,43.0
25.05.20,35.0
26.05.20,65.0
27.05.20,98.0
28.05.20,66.0
29.05.20,66.0
30.05.20,52.0
31.05.20,57.0
01.06.20,31.0
02.06.20,31.0
03.06.20,107.0
04.06.20,81.0
05.06.20,44.0
06.06.20,46.0
07.06.20,31.0
08.06.20,13.0
09.06.20,54.0
10.06.20,87.0
11.06.20,23.0
12.06.20,27.0
13.06.20,28.0
14.06.20,24.0
15.06.20,9.0
16.06.20,29.0
17.06.20,111.0
18.06.20,28.0
19.06.20,28.0
20.06.20,14.0
21.06.20,16.0
22.06.20,7.0
23.06.20,23.0
24.06.20,57.0
25.06.20,11.0
26.06.20,21.0
27.06.20,26.0
28.06.20,0.0
29.06.20,0.0
30.06.20,35.0
01.07.20,30.0
02.07.20,18.0
03.07.20,14.0
04.07.20,18.0
05.07.20,0.0
06.07.20,0.0
07.07.20,27.0
08.07.20,13.0
09.07.20,32.0
10.07.20,14.0
11.07.20,25.0
12.07.20,0.0
13.07.20,0.0
14.07.20,25.0
15.07.20,0.0
16.07.20,91.0
17.07.20,18.0
18.07.20,14.0
19.07.20,0.0
20.07.20,0.0
21.07.20,13.0
22.07.20,0.0
23.07.20,7.0
24.07.20,10.0
25.07.20,10.0
26.07.20,0.0
27.07.20,0.0
28.07.20,17.0
29.07.20,14.0
30.07.20,15.0
31.07.20,16.0
01.08.20,11.0
02.08.20,0.0
03.08.20,0.0
04.08.20,29.0
05.08.20,2.0
06.08.20,9.0
07.08.20,7.0
08.08.20,12.0
09.08.20,0.0
10.08.20,0.0
11.08.20,16.0
12.08.20,14.0
13.08.20,17.0
14.08.20,17.0
15.08.20,18.0
16.08.20,3.0
17.08.20,1.0
18.08.20,19.0
19.08.20,22.0
20.08.20,17.0
21.08.20,12.0
22.08.20,23.0
23.08.20,9.0
24.08.20,1.0
25.08.20,15.0
26.08.20,16.0
27.08.20,0.0
28.08.20,32.0
29.08.20,20.0
30.08.20,6.0
31.08.20,4.0
01.09.20,29.0
02.09.20,26.0
03.09.20,25.0
04.09.20,0.0
05.09.20,0.0
06.09.20,12.0
07.09.20,3.0
08.09.20,25.0
09.09.20,38.0
10.09.20,30.0
11.09.20,19.0
12.09.20,80.0
13.09.20,17.0
14.09.20,6.0
15.09.20,34.0
16.09.20,49.0
17.09.20,46.0
18.09.20,50.0
19.09.20,154.0
20.09.20,25.0
21.09.20,11.0
22.09.20,53.0
23.09.20,78.0
24.09.20,43.0
25.09.20,52.0
26.09.20,150.0
27.09.20,39.0
28.09.20,27.0
29.09.20,81.0
30.09.20,85.0
01.10.20,63.0
02.10.20,63.0
03.10.20,136.0
04.10.20,43.0
05.10.20,32.0
06.10.20,69.0
07.10.20,66.0
08.10.20,80.0
09.10.20,76.0
10.10.20,109.0
11.10.20,54.0
12.10.20,46.0
13.10.20,95.0
14.10.20,108.0
15.10.20,104.0
16.10.20,88.0
17.10.20,178.0
18.10.20,89.0
19.10.20,85.0
20.10.20,146.0
21.10.20,262.0
22.10.20,163.0
23.10.20,162.0
24.10.20,298.0
25.10.20,137.0
