date,age_group_0,age_group_1,age_group_2,age_group_3
17.05.20,27,41,32,39
18.05.20,211,340,218,347
19.05.20,178,382,195,290
20.05.20,203,432,164,247
21.05.20,34,50,41,55
22.05.20,159,284,146,190
23.05.20,65,90,49,56
24.05.20,50,35,29,23
25.05.20,143,258,122,173
26.05.20,167,281,115,191
27.05.20,152,275,131,164
28.05.20,166,239,92,116
29.05.20,143,205,99,107
30.05.20,114,134,43,46
31.05.20,82,67,24,13
01.06.20,51,60,17,28
02.06.20,171,262,131,160
03.06.20,135,248,112,139
04.06.20,126,287,85,120
05.06.20,132,215,102,90
06.06.20,68,122,50,36
07.06.20,24,42,18,26
08.06.20,146,240,87,85
09.06.20,154,247,81,75
10.06.20,148,224,98,80
11.06.20,191,288,82,56
12.06.20,204,243,91,57
13.06.20,60,76,30,21
14.06.20,18,39,24,15
15.06.20,144,206,76,59
16.06.20,135,221,87,57
17.06.20,216,325,105,70
18.06.20,187,267,80,35
19.06.20,216,312,95,46
20.06.20,107,141,39,27
21.06.20,24,48,19,7
22.06.20,190,261,85,45
23.06.20,231,300,72,50
24.06.20,233,313,73,43
25.06.20,157,254,63,33
26.06.20,205,248,90,30
27.06.20,120,145,52,18
28.06.20,82,87,27,19
29.06.20,226,312,100,30
30.06.20,218,335,90,48
01.07.20,229,286,69,34
02.07.20,211,265,80,29
03.07.20,261,289,97,78
04.07.20,121,153,53,19
05.07.20,24,53,18,8
06.07.20,236,295,105,33
07.07.20,204,244,93,24
08.07.20,264,322,84,29
09.07.20,265,309,95,28
10.07.20,310,383,106,35
11.07.20,114,168,57,10
12.07.20,43,39,17,15
13.07.20,339,380,118,31
14.07.20,67,75,26,12
15.07.20,268,410,120,41
16.07.20,339,465,132,28
17.07.20,310,425,165,45
18.07.20,169,192,61,17
19.07.20,65,90,29,6
20.07.20,360,448,157,54
21.07.20,398,477,159,47
22.07.20,434,517,150,46
23.07.20,452,468,161,39
24.07.20,491,547,179,40
25.07.20,246,270,84,17
26.07.20,115,96,32,16
27.07.20,575,596,177,52
28.07.20,568,560,164,48
29.07.20,604,621,174,50
30.07.20,679,631,161,62
31.07.20,751,655,159,42
01.08.20,335,328,91,29
02.08.20,103,93,36,12
03.08.20,919,808,213,53
04.08.20,852,850,213,78
05.08.20,870,809,205,59
06.08.20,917,888,237,84
07.08.20,993,964,222,80
08.08.20,396,419,120,44
09.08.20,161,156,73,20
10.08.20,1238,1163,272,72
11.08.20,1189,1090,268,81
12.08.20,1329,1171,284,66
13.08.20,1533,1540,297,99
14.08.20,1744,1587,384,94
15.08.20,315,281,86,40
16.08.20,300,261,72,37
17.08.20,2288,2089,445,106
18.08.20,2173,1987,401,108
19.08.20,2292,1951,434,100
20.08.20,2492,1995,445,102
21.08.20,2453,2051,421,107
22.08.20,1093,828,185,56
23.08.20,463,356,103,24
24.08.20,3267,2857,598,138
25.08.20,3260,2674,613,127
26.08.20,3186,2615,576,146
27.08.20,3628,2874,588,168
28.08.20,3540,3021,709,172
29.08.20,1403,1156,280,72
30.08.20,592,486,90,47
31.08.20,4477,3738,912,189
01.09.20,4165,3536,796,213
02.09.20,4361,3571,790,215
03.09.20,4423,4030,851,258
04.09.20,4545,4085,1025,278
05.09.20,1828,1551,396,169
06.09.20,620,534,156,85
07.09.20,5454,4953,1259,404
08.09.20,5391,4688,1077,335
09.09.20,5234,4438,1086,364
10.09.20,5421,4809,1180,435
11.09.20,4937,4585,1163,368
12.09.20,1969,1713,497,206
13.09.20,635,584,200,99
14.09.20,6379,5894,1548,621
15.09.20,6013,5460,1358,462
16.09.20,6087,5233,1452,424
17.09.20,6140,5394,1393,491
18.09.20,5907,5220,1374,459
19.09.20,2244,2068,575,199
20.09.20,781,662,201,97
21.09.20,6614,6310,1786,611
22.09.20,6016,5797,1611,532
23.09.20,5666,5233,1408,438
24.09.20,5394,5218,1444,443
25.09.20,5331,4885,1431,413
26.09.20,2032,1915,557,184
27.09.20,534,509,200,104
28.09.20,5517,5827,1692,475
29.09.20,5168,5423,1517,483
30.09.20,5503,5458,1534,585
01.10.20,5866,6322,1677,481
02.10.20,6322,6923,1995,678
03.10.20,2739,3101,914,313
04.10.20,709,794,286,135
05.10.20,7797,9640,2791,857
06.10.20,7200,8763,2539,887
07.10.20,7813,9191,2579,798
08.10.20,8300,10146,2872,837
09.10.20,8629,10797,3153,1067
10.10.20,3986,5019,1500,518
11.10.20,1042,1316,448,283
12.10.20,10544,14187,4507,1581
13.10.20,9365,12882,4097,1424
14.10.20,9922,12833,3905,1343
15.10.20,10560,14325,4432,1708
16.10.20,10846,15065,4837,1685
17.10.20,4808,6871,2324,835
18.10.20,1397,1959,645,500
19.10.20,13531,20475,6849,2801
20.10.20,12833,20363,6744,2812
21.10.20,13479,21533,6951,2990
22.10.20,14587,22931,7602,3249
23.10.20,14945,23268,8097,3340
24.10.20,6393,9783,3316,1299
