age,PopTotal
0,698863
1,718367
2,735590
3,750613
4,765788
5,774872
6,782562
7,788853
8,793746
9,797375
10,799882
11,800557
12,799116
13,795980
14,792218
15,788061
16,782358
17,774789
18,766181
19,757911
20,749983
21,743205
22,738210
23,734966
24,732154
25,729262
26,731062
27,739549
28,752312
29,764745
30,777525
31,788665
32,796631
33,802103
34,808606
35,816988
36,819100
37,811733
38,799188
39,787343
40,773069
41,770791
42,787660
43,816195
44,842377
45,869745
46,888398
47,892232
48,886336
49,881679
50,875801
51,871242
52,870283
53,871031
54,869843
55,868083
56,862602
57,851677
58,837338
59,823016
60,807641
61,795236
62,788026
63,783990
64,777316
65,767281
66,760646
67,759582
68,760025
69,758968
70,760878
71,741488
72,689655
73,618175
74,549345
75,476729
76,423102
77,401423
78,400308
79,395205
80,390780
81,383037
82,367441
83,346676
84,328535
85,312156
86,291966
87,266192
88,236984
89,205922
90,180229
91,159353
92,133314
93,102103
94,80594
95,71570
96,60088
97,44298
98,24200
99,14252
100,18599
