date,age_group_0,age_group_1,age_group_2,age_group_3
17.05.20,155,109,35,14
18.05.20,249,187,62,46
19.05.20,267,268,92,102
20.05.20,325,311,129,67
21.05.20,177,147,49,45
22.05.20,217,182,73,54
23.05.20,122,114,63,40
24.05.20,93,75,29,28
25.05.20,154,149,65,44
26.05.20,241,239,93,43
27.05.20,271,231,100,44
28.05.20,213,186,68,57
29.05.20,178,165,54,49
30.05.20,198,122,31,23
31.05.20,95,47,26,11
01.06.20,70,26,25,16
02.06.20,147,89,41,25
03.06.20,229,187,49,31
04.06.20,269,178,50,27
05.06.20,200,154,52,35
06.06.20,134,95,34,20
07.06.20,76,53,21,15
08.06.20,155,98,30,15
09.06.20,211,145,47,25
10.06.20,250,185,55,29
11.06.20,132,96,28,21
12.06.20,171,107,29,41
13.06.20,176,90,17,16
14.06.20,81,57,19,15
15.06.20,112,101,28,18
16.06.20,266,203,43,27
17.06.20,403,472,68,34
18.06.20,324,236,53,21
19.06.20,447,363,64,20
20.06.20,263,209,40,15
21.06.20,121,111,15,9
22.06.20,217,221,31,14
23.06.20,228,240,55,18
24.06.20,233,206,44,18
25.06.20,241,240,55,27
26.06.20,302,203,48,20
27.06.20,170,124,31,6
28.06.20,106,78,6,8
29.06.20,201,160,42,14
30.06.20,230,160,52,18
01.07.20,242,177,42,22
02.07.20,233,189,37,12
03.07.20,211,168,34,13
04.07.20,146,97,34,16
05.07.20,77,52,9,5
06.07.20,167,113,28,8
07.07.20,190,147,41,12
08.07.20,214,168,52,16
09.07.20,209,162,46,11
10.07.20,233,142,38,11
11.07.20,151,85,34,7
12.07.20,67,45,12,5
13.07.20,156,132,31,7
14.07.20,241,167,39,10
15.07.20,277,186,58,16
16.07.20,276,203,57,19
17.07.20,273,194,42,15
18.07.20,204,169,42,12
19.07.20,95,68,12,12
20.07.20,243,158,41,11
21.07.20,235,210,63,10
22.07.20,330,287,58,21
23.07.20,357,255,65,22
24.07.20,417,308,65,18
25.07.20,246,233,48,16
26.07.20,91,99,16,5
27.07.20,264,192,43,25
28.07.20,359,295,67,25
29.07.20,450,354,78,25
30.07.20,444,313,70,25
31.07.20,461,346,72,38
01.08.20,294,216,38,14
02.08.20,143,113,29,16
03.08.20,398,301,59,25
04.08.20,462,360,98,23
05.08.20,614,388,87,18
06.08.20,610,422,98,30
07.08.20,556,367,62,15
08.08.20,407,230,51,18
09.08.20,189,106,15,8
10.08.20,605,404,60,28
11.08.20,691,408,69,21
12.08.20,923,488,98,31
13.08.20,902,495,71,22
14.08.20,821,441,79,27
15.08.20,443,232,51,22
16.08.20,277,181,24,10
17.08.20,950,504,80,14
18.08.20,933,494,88,14
19.08.20,1083,555,92,18
20.08.20,978,528,95,19
21.08.20,979,575,81,23
22.08.20,535,302,56,12
23.08.20,339,188,28,5
24.08.20,865,468,79,16
25.08.20,874,471,113,19
26.08.20,986,512,91,20
27.08.20,902,517,105,12
28.08.20,838,442,69,28
29.08.20,502,273,48,9
30.08.20,318,182,30,7
31.08.20,719,383,64,13
01.09.20,794,422,88,12
02.09.20,838,469,80,23
03.09.20,907,476,113,17
04.09.20,885,495,91,15
05.09.20,601,399,80,21
06.09.20,337,194,38,8
07.09.20,811,473,101,29
08.09.20,734,467,132,38
09.09.20,917,641,146,47
10.09.20,887,524,135,32
11.09.20,889,548,161,53
12.09.20,663,404,118,35
13.09.20,425,236,66,27
14.09.20,764,549,134,29
15.09.20,1047,661,218,69
16.09.20,1131,778,212,68
17.09.20,1222,814,218,77
18.09.20,1145,736,212,66
19.09.20,719,476,154,42
20.09.20,349,243,71,20
21.09.20,874,545,176,47
22.09.20,952,610,180,64
23.09.20,1066,809,235,69
24.09.20,1243,813,256,73
25.09.20,1166,869,217,51
26.09.20,882,635,177,87
27.09.20,442,319,85,29
28.09.20,877,659,201,71
29.09.20,1090,730,254,71
30.09.20,1339,1015,274,87
01.10.20,1426,1052,328,84
02.10.20,1398,1017,302,166
03.10.20,1044,788,284,80
04.10.20,581,402,121,36
05.10.20,1083,895,286,106
06.10.20,1735,1313,415,111
07.10.20,2015,1753,539,153
08.10.20,2170,1765,552,167
09.10.20,2375,1891,564,194
10.10.20,1685,1374,403,146
11.10.20,1080,812,284,78
12.10.20,1968,1508,478,214
13.10.20,2434,2031,678,186
14.10.20,3255,2705,901,312
15.10.20,3595,2965,994,305
16.10.20,3590,2910,1000,387
17.10.20,2525,2159,715,252
18.10.20,1719,1317,449,173
19.10.20,2881,2421,783,281
20.10.20,3955,3599,1254,509
21.10.20,5251,4805,1531,574
22.10.20,5882,5144,1765,722
23.10.20,5935,5201,1725,706
24.10.20,4744,4148,1376,505
25.10.20,3094,2722,964,419
26.10.20,4602,3954,1445,640
27.10.20,3937,3731,1239,461
