date,age_group_0,age_group_1,age_group_2,age_group_3
17.05.20,57.0,133.0,23.0,13.0
18.05.20,52.0,99.0,18.0,4.0
19.05.20,49.0,124.0,32.0,18.0
20.05.20,61.0,132.0,30.0,5.0
21.05.20,67.0,137.0,43.0,5.0
22.05.20,82.0,142.0,47.0,17.0
23.05.20,92.0,115.0,43.0,21.0
24.05.20,51.0,67.0,31.0,3.0
25.05.20,66.0,73.0,15.0,11.0
26.05.20,72.0,77.0,44.0,26.0
27.05.20,76.0,177.0,29.0,3.0
28.05.20,99.0,148.0,38.0,19.0
29.05.20,97.0,149.0,60.0,44.0
30.05.20,80.0,137.0,34.0,6.0
31.05.20,98.0,152.0,31.0,16.0
01.06.20,76.0,77.0,33.0,14.0
02.06.20,57.0,96.0,23.0,13.0
03.06.20,115.0,167.0,47.0,43.0
04.06.20,104.0,195.0,28.0,4.0
05.06.20,116.0,206.0,48.0,7.0
06.06.20,120.0,212.0,37.0,13.0
07.06.20,92.0,159.0,46.0,12.0
08.06.20,76.0,73.0,29.0,14.0
09.06.20,112.0,214.0,58.0,34.0
10.06.20,104.0,149.0,41.0,11.0
11.06.20,89.0,179.0,34.0,7.0
12.06.20,113.0,119.0,34.0,5.0
13.06.20,72.0,143.0,42.0,26.0
14.06.20,76.0,121.0,24.0,1.0
15.06.20,106.0,161.0,41.0,43.0
16.06.20,71.0,159.0,43.0,27.0
17.06.20,89.0,188.0,41.0,18.0
18.06.20,155.0,172.0,59.0,29.0
19.06.20,145.0,158.0,51.0,20.0
20.06.20,126.0,171.0,25.0,55.0
21.06.20,95.0,150.0,29.0,16.0
22.06.20,55.0,85.0,55.0,63.0
23.06.20,112.0,177.0,38.0,21.0
24.06.20,106.0,165.0,66.0,28.0
25.06.20,110.0,144.0,29.0,29.0
26.06.20,133.0,191.0,68.0,59.0
27.06.20,105.0,148.0,49.0,21.0
28.06.20,147.0,201.0,46.0,64.0
29.06.20,86.0,127.0,28.0,25.0
30.06.20,83.0,114.0,45.0,16.0
01.07.20,109.0,164.0,56.0,18.0
02.07.20,121.0,175.0,59.0,23.0
03.07.20,130.0,200.0,70.0,55.0
04.07.20,145.0,176.0,61.0,30.0
05.07.20,123.0,138.0,38.0,28.0
06.07.20,79.0,97.0,38.0,17.0
07.07.20,86.0,136.0,42.0,23.0
08.07.20,135.0,217.0,57.0,34.0
09.07.20,124.0,197.0,75.0,22.0
10.07.20,145.0,194.0,47.0,16.0
11.07.20,111.0,171.0,36.0,23.0
12.07.20,82.0,129.0,54.0,16.0
13.07.20,104.0,140.0,48.0,14.0
14.07.20,78.0,112.0,33.0,9.0
15.07.20,106.0,200.0,47.0,15.0
16.07.20,109.0,169.0,42.0,17.0
17.07.20,108.0,150.0,37.0,11.0
18.07.20,103.0,141.0,51.0,18.0
19.07.20,75.0,126.0,34.0,11.0
20.07.20,40.0,60.0,23.0,12.0
21.07.20,39.0,56.0,24.0,8.0
22.07.20,88.0,115.0,41.0,7.0
23.07.20,75.0,104.0,35.0,13.0
24.07.20,96.0,148.0,42.0,27.0
25.07.20,83.0,130.0,42.0,8.0
26.07.20,72.0,95.0,26.0,15.0
27.07.20,37.0,73.0,17.0,8.0
28.07.20,35.0,35.0,25.0,12.0
29.07.20,81.0,95.0,19.0,6.0
30.07.20,63.0,143.0,34.0,15.0
31.07.20,63.0,95.0,31.0,13.0
01.08.20,75.0,100.0,36.0,27.0
02.08.20,60.0,66.0,14.0,13.0
03.08.20,29.0,52.0,22.0,3.0
04.08.20,31.0,47.0,24.0,8.0
05.08.20,50.0,80.0,30.0,7.0
