age,PopTotal
0,78752
1,79780
2,81057
3,82547
4,84143
5,86026
6,88001
7,90035
8,92094
9,94167
10,96245
11,98173
12,99880
13,101392
14,102831
15,104169
16,105325
17,106270
18,107021
19,107714
20,108422
21,108701
22,108369
23,107689
24,107155
25,106732
26,106587
27,106869
28,107568
29,108439
30,109440
31,111308
32,114360
33,118257
34,122211
35,126221
36,130621
37,135453
38,140467
39,145302
40,149944
41,154013
42,157255
43,159714
44,161974
45,164248
46,164648
47,162397
48,158475
49,154444
50,149761
51,146704
52,146494
53,147995
54,148971
55,150012
56,149835
57,147626
58,144126
59,140864
60,137504
61,134573
62,132482
63,130912
64,129049
65,126943
66,125046
67,123463
68,121969
69,120359
70,118827
71,116243
72,112073
73,106885
74,101708
75,96242
76,91417
77,87772
78,84818
79,81545
80,78168
81,74378
82,69923
83,64988
84,60157
85,55482
86,50220
87,44113
88,37574
89,30530
90,24511
91,20679
92,16492
93,11892
94,8736
95,7273
96,5936
97,4331
98,2459
99,1353
100,1850
