GENESIS-Tabelle: 12111-0102
Bevölkerung (Zensus): Bundesländer, Stichtag, Nationalität,;;;;;;;;;;;;;;;;;;
Altersgruppen;;;;;;;;;;;;;;;;;;
Zensus;;;;;;;;;;;;;;;;;;
Bevölkerung (Zensus) (Anzahl);;;;;;;;;;;;;;;;;;
;;;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer;Bundesländer
;;;Baden-Württemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thüringen
09.05.2011;Deutsche;unter 3 Jahre;259775;301231;89466;56183;14623;44999;144253;38103;180247;409217;90922;19717;100565;49906;64791;50499
09.05.2011;Deutsche;3 bis unter 6 Jahre;268972;307841;81489;56751;14601;42704;147599;36815;190563;425927;94201;20456;96514;49319;68397;48816
09.05.2011;Deutsche;6 bis unter 15 Jahre;883676;1023591;216270;172588;44521;118574;472908;108141;683497;1436076;325753;72700;269136;145683;243738;145105
09.05.2011;Deutsche;15 bis unter 18 Jahre;304669;359824;62803;45547;15065;36060;158549;27978;240997;497379;118427;27691;66463;39056;85445;37992
09.05.2011;Deutsche;18 bis unter 25 Jahre;788457;942219;236325;168937;50983;120642;412547;123510;586485;1293078;307799;73151;292543;164850;207677;161707
09.05.2011;Deutsche;25 bis unter 30 Jahre;541452;669536;223208;132005;39056;116092;298614;98534;384925;892020;201799;50047;249291;130900;135759;133486
09.05.2011;Deutsche;30 bis unter 40 Jahre;1007883;1286276;373436;255568;64401;205704;585271;167616;780895;1685010;381089;91006;445430;233262;280810;235890
09.05.2011;Deutsche;40 bis unter 50 Jahre;1533660;1895865;467975;417252;89402;239773;883216;255830;1233710;2656984;615161;151924;597940;360847;460257;337835
09.05.2011;Deutsche;50 bis unter 65 Jahre;1843517;2270798;563723;555464;114947;263403;1085438;371791;1495051;3245776;793614;212771;858993;519813;541087;497095
09.05.2011;Deutsche;65 bis unter 75 Jahre;1019956;1253354;353709;316544;70488;164622;596246;198688;853578;1783071;411989;111771;544282;309207;339687;283497
09.05.2011;Deutsche;75 Jahre und mehr;903222;1069118;249668;236240;60790;139916;522499;156148;722772;1607500;377048;102163;458381;245030;255412;223931
09.05.2011;Deutsche;Insgesamt;9355239;11379653;2918072;2413079;578877;1492489;5307140;1583154;7352720;15932038;3717802;933397;3979538;2247873;2683060;2155853
09.05.2011;Ausländer;unter 3 Jahre;9453;10138;5401;758;1016;2758;7402;559;5488;18394;3236;813;1390;870;1405;647
09.05.2011;Ausländer;3 bis unter 6 Jahre;10377;11531;5264;768;935;2871;7666;673;6148;18933;3465;821;1400;838;1558;655
09.05.2011;Ausländer;6 bis unter 15 Jahre;76485;66557;22901;2773;5554;13902;45168;2120;33170;121451;19422;4652;5044;3046;8042;2317
09.05.2011;Ausländer;15 bis unter 18 Jahre;39281;30591;10789;1223;2565;6179;21378;812;15249;57762;9163;2208;2035;1145;3469;956
09.05.2011;Ausländer;18 bis unter 25 Jahre;113535;91660;35087;4217;7679;17683;62775;2900;40117;153317;26595;6494;8356;5449;9318;3998
09.05.2011;Ausländer;25 bis unter 30 Jahre;103774;93776;40346;4230;7611;20221;61540;3067;37734;141965;25695;6203;9819;4645;10113;4378
09.05.2011;Ausländer;30 bis unter 40 Jahre;251447;238809;90849;10806;16312;52534;150563;6485;94389;361740;61064;13992;19768;9372;26995;8389
09.05.2011;Ausländer;40 bis unter 50 Jahre;204191;193531;71713;8634;12278;40898;127885;4831;79594;292503;52169;12293;14705;7101;22313;5998
09.05.2011;Ausländer;50 bis unter 65 Jahre;210216;188224;60968;6959;11498;37786;118999;3856;74221;277738;48126;12227;10987;4982;21931;4274
